21,6822
32,9885
53,0569
147,5327
147,4206
181,0797
42,9975
9,7917
151,0212
22,1098
17,2165
81,7984
52,1243
118,1776
9,8558
138,2584
31,1694
43,2605
127,4703
19,8083
99,6012
30,2616
124,5039
23,7459
27,3602
46,7131
39,1472
104,8849
78,8837
127,38
116,9798
118,5607
1,3572
125,6272
55,1796
185,7939
145,5459
174,5345
8,9103
31,4136
104,8332
18,9796
16,9839
132,4004
114,2182
5,5954
144,0646
7,6253
33,9379
17,819
141,0469
21,4209
144,7339
67,7753
63,508
105,5396
103,7889
36,7136
105,9925
127,983
62,8106
6,5434
22,8064
52,9487
1,2837
135,7345
52,4903
72,3663
72,2059
124,8917
48,0636
2,797
138,7591
145,8589
5,8096
5,6091
111,3668
52,3154
22,2736
55,6406
16,0076
11,9131
99,0119
27,1254
76,7866
15,5954
139,2936
80,4462
148,7933
113,0247
40,3792
153,8538
58,7306
183,849
32,8829
124,0844
4,738
130,302
65,3254
84,2187

Whole time:7429,102
Averange time:74,291015625
